Z122;MAN (ISOLA)
Z237;QATAR
Z600;ARGENTINA
Z217;CINA REPUBBLICA NAZIONALE=TAIWAN
Z308;CENTRAFRICANA REPUBBLICA
Z311;CONGO REPUBBLICA POPOLARE
Z603;CILE
Z324;LA REUNION (ISOLA)
Z319;GUINEA
Z510;HAITI
Z354;BURKINA FASO
Z223;INDONESIA
Z331;MAURITANIA
Z229;LIBANO
Z327;MADAGASCAR
Z329;MALI
Z334;NIGER
Z129;ROMANIA
Z213;COREA DEL SUD
Z613;URUGUAY
Z216;FILIPPINE
Z130;SAN MARINO
Z154;RUSSIA=FEDERAZIONE RUSSA
Z338;RUANDA
Z132;SVEZIA
Z157;SERBIA E MONTENEGRO
Z349;SWAZILAND
Z248;SINGAPORE
Z340;SANT'ELENA (ISOLA)
Z155;SLOVACCHIA
Z724;SALOMONE (ISOLE)
Z150;SLOVENIA
Z608;SURINAME
Z343;SENEGAL
Z345;SOMALIA
Z403;SAINT PIERRE ET MIQUELON (ISOLE)
Z158;SERBIA
Z341;SAO TOME E PRINCIPE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z348;SUDAN
Z342;SEYCHELLES
Z240;SIRIA
Z241;THAILANDIA
Z519;TURKS E CAICOS (ISOLE)
Z309;CIAD
Z351;TOGO
Z257;TAGIKISTAN
Z727;TOKELAU=ISOLE DELL'UNIONE
Z242;TIMOR (ISOLA)
Z258;TURKMENISTAN
Z352;TUNISIA
Z728;TONGA=ISOLE DEGLI AMICI
Z243;TURCHIA
Z612;TRINIDAD E TOBAGO
Z732;TUVALU
Z138;UCRAINA
Z215;EMIRATI ARABI UNITI
Z160;KOSSOVO
Z404;STATI UNITI D'AMERICA
Z259;UZBEKISTAN
Z106;CITTA' DEL VATICANO
Z520;VERGINI AMERICANE (ISOLE)
Z251;VIETNAM
Z245;VIETNAM DEL NORD
Z244;VIETNAM DEL SUD
Z733;VANUATU
Z317;GAMBIA
Z344;SIERRA LEONE
Z335;NIGERIA
Z526;DOMINICA
Z524;GRENADA
Z527;SAINT LUCIA
Z729;WALLIS E FUTUNA (ISOLE)
Z726;SAMOA (ISOLE)
Z528;SAINT VINCENT E GRENADINE
Z250;YEMEN REP. DEM. POPOLARE
Z118;JUGOSLAVIA
Z614;VENEZUELA
Z355;ZAMBIA
Z347;SUDAFRICANA REPUBBLICA
Z312;CONGO REPUBBLICA DEMOCRATICA
Z337;ZIMBABWE
